ccaa;sub_region_1
Andalucía;Andalusia
Aragón;Aragon
Asturias, Principado de;Asturias
Balears, Illes;Balearic Islands
Canarias;Canary Islands
Cantabria;Cantabria
Castilla - La Mancha;Castile-La Mancha
Castilla y León;Castile and León
Cataluña;Catalonia
Ceuta;Ceuta
Comunitat Valenciana;Valencian Community
Extremadura;Extremadura
Galicia;Galicia
Madrid, Comunidad de;Community of Madrid
Melilla;Melilla
Murcia, Región de;Region of Murcia
Navarra;Navarre
País Vasco;Basque Country
Rioja, La;La Rioja
